CP,msg
consumer,"{index: 94, value: .\..\..\.git\objects\e4\cb7f3345a14bd687a0386f2f370523869e3240}"
productor,"{index: 95, value: .\..\..\.git\objects\ec\90083a2b3b1673baa2c7db81a4ba706566b80b}"
consumer,"{index: 95, value: .\..\..\.git\objects\ec\90083a2b3b1673baa2c7db81a4ba706566b80b}"
productor,"{index: 96, value: .\..\..\.git\objects\ee\04593d4a32a350a75b73c99bb0d7fab66d355e}"
consumer,"{index: 96, value: .\..\..\.git\objects\ee\04593d4a32a350a75b73c99bb0d7fab66d355e}"
productor,"{index: 97, value: .\..\..\.git\objects\ef\3954f3ea184f73ab7b9c5f430ad72c694dcd80}"
consumer,"{index: 97, value: .\..\..\.git\objects\ef\3954f3ea184f73ab7b9c5f430ad72c694dcd80}"
productor,"{index: 97, value: .\..\..\.git\objects\ef\74cd5283f98412a4f41093fc4a837afa1c4d76}"
consumer,"{index: 97, value: .\..\..\.git\objects\ef\74cd5283f98412a4f41093fc4a837afa1c4d76}"
productor,"{index: 98, value: .\..\..\.git\objects\f0\90b8309caee228c2683fa4babaa99651df28e5}"
consumer,"{index: 98, value: .\..\..\.git\objects\f0\90b8309caee228c2683fa4babaa99651df28e5}"
productor,"{index: 99, value: .\..\..\.git\objects\f1\02c78f59c90ba97f4b16149b99ac7b78db5143}"
consumer,"{index: 99, value: .\..\..\.git\objects\f1\02c78f59c90ba97f4b16149b99ac7b78db5143}"
productor,"{index: 99, value: .\..\..\.git\objects\f1\7d656338fb140c54452337f470338e7e4c0577}"
consumer,"{index: 99, value: .\..\..\.git\objects\f1\7d656338fb140c54452337f470338e7e4c0577}"
productor,"{index: 99, value: .\..\..\.git\objects\f1\e5117858d43401565a08eeb9aa2db2f81f946b}"
consumer,"{index: 99, value: .\..\..\.git\objects\f1\e5117858d43401565a08eeb9aa2db2f81f946b}"
productor,"{index: 100, value: .\..\..\.git\objects\f2\b14d35ba9cad0aa6f0569d46e824b64ff99859}"
consumer,"{index: 100, value: .\..\..\.git\objects\f2\b14d35ba9cad0aa6f0569d46e824b64ff99859}"
productor,"{index: 101, value: .\..\..\.git\objects\f6\d8eda70e03ffa5280c828240e134e5504c9eab}"
consumer,"{index: 101, value: .\..\..\.git\objects\f6\d8eda70e03ffa5280c828240e134e5504c9eab}"
productor,"{index: 102, value: .\..\..\.git\objects\fe\74502e18ab8b4dbbfb9fb027d221e894e93532}"
consumer,"{index: 102, value: .\..\..\.git\objects\fe\74502e18ab8b4dbbfb9fb027d221e894e93532}"
productor,"{index: 104, value: .\..\..\.git\objects\pack\pack-4a894672cd233c13802eca22e788238fc667466c.idx}"
consumer,"{index: 104, value: .\..\..\.git\objects\pack\pack-4a894672cd233c13802eca22e788238fc667466c.idx}"
productor,"{index: 104, value: .\..\..\.git\objects\pack\pack-4a894672cd233c13802eca22e788238fc667466c.pack}"
consumer,"{index: 104, value: .\..\..\.git\objects\pack\pack-4a894672cd233c13802eca22e788238fc667466c.pack}"
productor,"{index: 106, value: .\..\..\.git\refs\heads\main}"
consumer,"{index: 106, value: .\..\..\.git\refs\heads\main}"
productor,"{index: 108, value: .\..\..\.git\refs\remotes\origin\HEAD}"
consumer,"{index: 108, value: .\..\..\.git\refs\remotes\origin\HEAD}"
productor,"{index: 108, value: .\..\..\.git\refs\remotes\origin\main}"
consumer,"{index: 108, value: .\..\..\.git\refs\remotes\origin\main}"
productor,"{index: 109, value: .\..\..\.git\refs\tags\v01.01}"
consumer,"{index: 109, value: .\..\..\.git\refs\tags\v01.01}"
productor,"{index: 110, value: .\..\..\.github\pull_request_produttore_e_consumatore2.md}"
consumer,"{index: 110, value: .\..\..\.github\pull_request_produttore_e_consumatore2.md}"
productor,"{index: 111, value: .\..\..\.github\ISSUE_TEMPLATE\bug_report.md}"
consumer,"{index: 111, value: .\..\..\.github\ISSUE_TEMPLATE\bug_report.md}"
productor,"{index: 111, value: .\..\..\.github\ISSUE_TEMPLATE\feature-request.md}"
consumer,"{index: 111, value: .\..\..\.github\ISSUE_TEMPLATE\feature-request.md}"
productor,"{index: 112, value: .\..\..\.github\workflows\on-push.yml}"
consumer,"{index: 112, value: .\..\..\.github\workflows\on-push.yml}"
productor,"{index: 112, value: .\..\..\.github\workflows\on-release.yml}"
consumer,"{index: 112, value: .\..\..\.github\workflows\on-release.yml}"
productor,"{index: 113, value: .\..\..\.vs\ProjectSettings.json}"
consumer,"{index: 113, value: .\..\..\.vs\ProjectSettings.json}"
productor,"{index: 113, value: .\..\..\.vs\PythonSettings.json}"
consumer,"{index: 113, value: .\..\..\.vs\PythonSettings.json}"
productor,"{index: 113, value: .\..\..\.vs\slnx.sqlite}"
consumer,"{index: 113, value: .\..\..\.vs\slnx.sqlite}"
productor,"{index: 113, value: .\..\..\.vs\VSWorkspaceState.json}"
consumer,"{index: 113, value: .\..\..\.vs\VSWorkspaceState.json}"
productor,"{index: 115, value: .\..\..\.vs\produttore_e_consumatore2\v16\.suo}"
consumer,"{index: 115, value: .\..\..\.vs\produttore_e_consumatore2\v16\.suo}"
productor,"{index: 115, value: .\..\..\.vs\produttore_e_consumatore2\v16\Browse.VC.db}"
consumer,"{index: 115, value: .\..\..\.vs\produttore_e_consumatore2\v16\Browse.VC.db}"
productor,"{index: 115, value: .\..\..\.vs\produttore_e_consumatore2\v16\Browse.VC.db-shm}"
consumer,"{index: 115, value: .\..\..\.vs\produttore_e_consumatore2\v16\Browse.VC.db-shm}"
productor,"{index: 115, value: .\..\..\.vs\produttore_e_consumatore2\v16\Browse.VC.db-wal}"
consumer,"{index: 115, value: .\..\..\.vs\produttore_e_consumatore2\v16\Browse.VC.db-wal}"
productor,"{index: 115, value: .\..\..\.vs\produttore_e_consumatore2\v16\Browse.VC.opendb}"
consumer,"{index: 115, value: .\..\..\.vs\produttore_e_consumatore2\v16\Browse.VC.opendb}"
productor,"{index: 116, value: .\..\..\choco\produttore_e_consumatore2.nuspec}"
consumer,"{index: 116, value: .\..\..\choco\produttore_e_consumatore2.nuspec}"
productor,"{index: 116, value: .\..\..\choco\set.txt}"
consumer,"{index: 116, value: .\..\..\choco\set.txt}"
productor,"{index: 117, value: .\..\..\choco\tools\chocolateyinstall.ps1}"
consumer,"{index: 117, value: .\..\..\choco\tools\chocolateyinstall.ps1}"
productor,"{index: 117, value: .\..\..\choco\tools\chocolateyuninstall.ps1}"
consumer,"{index: 117, value: .\..\..\choco\tools\chocolateyuninstall.ps1}"
productor,"{index: 117, value: .\..\..\choco\tools\LICENSE.txt}"
consumer,"{index: 117, value: .\..\..\choco\tools\LICENSE.txt}"
productor,"{index: 117, value: .\..\..\choco\tools\VERIFICATION.txt}"
consumer,"{index: 117, value: .\..\..\choco\tools\VERIFICATION.txt}"
productor,"{index: 118, value: .\..\..\debian\Makefile}"
consumer,"{index: 118, value: .\..\..\debian\Makefile}"
productor,"{index: 118, value: .\..\..\debian\produttoreconsumatore2.1}"
consumer,"{index: 118, value: .\..\..\debian\produttoreconsumatore2.1}"
productor,"{index: 118, value: .\..\..\debian\produttoreconsumatore2.c}"
consumer,"{index: 118, value: .\..\..\debian\produttoreconsumatore2.c}"
productor,"{index: 118, value: .\..\..\debian\requirements.in}"
consumer,"{index: 118, value: .\..\..\debian\requirements.in}"
productor,"{index: 119, value: .\..\..\debian\debian\changelog}"
consumer,"{index: 119, value: .\..\..\debian\debian\changelog}"
productor,"{index: 119, value: .\..\..\debian\debian\compat}"
consumer,"{index: 119, value: .\..\..\debian\debian\compat}"
productor,"{index: 119, value: .\..\..\debian\debian\control}"
consumer,"{index: 119, value: .\..\..\debian\debian\control}"
productor,"{index: 119, value: .\..\..\debian\debian\copyright}"
consumer,"{index: 119, value: .\..\..\debian\debian\copyright}"
productor,"{index: 119, value: .\..\..\debian\debian\postinst}"
consumer,"{index: 119, value: .\..\..\debian\debian\postinst}"
productor,"{index: 119, value: .\..\..\debian\debian\postrm}"
consumer,"{index: 119, value: .\..\..\debian\debian\postrm}"
productor,"{index: 119, value: .\..\..\debian\debian\preinst}"
consumer,"{index: 119, value: .\..\..\debian\debian\preinst}"
productor,"{index: 119, value: .\..\..\debian\debian\produttoreconsumatore2.dirs}"
consumer,"{index: 119, value: .\..\..\debian\debian\produttoreconsumatore2.dirs}"
productor,"{index: 119, value: .\..\..\debian\debian\rules}"
consumer,"{index: 119, value: .\..\..\debian\debian\rules}"
productor,"{index: 120, value: .\..\..\debian\debian\source\format}"
consumer,"{index: 120, value: .\..\..\debian\debian\source\format}"
productor,"{index: 121, value: .\..\..\docs\CHANGELOG.txt}"
consumer,"{index: 121, value: .\..\..\docs\CHANGELOG.txt}"
productor,"{index: 121, value: .\..\..\docs\CODE_OF_CONDUCT.md}"
consumer,"{index: 121, value: .\..\..\docs\CODE_OF_CONDUCT.md}"
productor,"{index: 121, value: .\..\..\docs\CONTRIBUTING.md}"
consumer,"{index: 121, value: .\..\..\docs\CONTRIBUTING.md}"
productor,"{index: 121, value: .\..\..\docs\GUI.png}"
consumer,"{index: 121, value: .\..\..\docs\GUI.png}"
productor,"{index: 121, value: .\..\..\docs\logo.png}"
consumer,"{index: 121, value: .\..\..\docs\logo.png}"
productor,"{index: 121, value: .\..\..\docs\README.md}"
consumer,"{index: 121, value: .\..\..\docs\README.md}"
productor,"{index: 122, value: .\..\..\flussi\dir.txt}"
consumer,"{index: 122, value: .\..\..\flussi\dir.txt}"
productor,"{index: 122, value: .\..\..\flussi\multiprocessing.csv}"
consumer,"{index: 122, value: .\..\..\flussi\multiprocessing.csv}"
productor,"{index: 123, value: .\..\..\log\trace.log}"
consumer,"{index: 123, value: .\..\..\log\trace.log}"
productor,"{index: 125, value: .\..\..\produttore_e_consumatore2\src\dir.txt}"
consumer,"{index: 125, value: .\..\..\produttore_e_consumatore2\src\dir.txt}"
productor,"{index: 125, value: .\..\..\produttore_e_consumatore2\src\multiprocessing.csv}"
consumer,"{index: 125, value: .\..\..\produttore_e_consumatore2\src\multiprocessing.csv}"
productor,"{index: 125, value: .\..\..\produttore_e_consumatore2\src\trace.log}"
consumer,"{index: 125, value: .\..\..\produttore_e_consumatore2\src\trace.log}"
productor,"{index: 125, value: .\..\..\produttore_e_consumatore2\src\__init__.py}"
consumer,"{index: 125, value: .\..\..\produttore_e_consumatore2\src\__init__.py}"
productor,"{index: 126, value: .\..\..\requirements\requirements.txt}"
consumer,"{index: 126, value: .\..\..\requirements\requirements.txt}"
